Segment name,Attempt #1's Duration (ms),Attempt #2's Duration (ms),Attempt #3's Duration (ms),Attempt #4's Duration (ms),Attempt #5's Duration (ms),Attempt #6's Duration (ms)
Mario Kart Stadium,135951,130313,132745,131964,132839,131753
Water Park,139363,138794,139706,141097,136853,137511
Sweet Sweet Canyon,153773,148698,147731,147929,148889,148822
Thwomp Ruins,158786,152105,151847,151511,155560,152150
Mario Circuit,147887,147466,147658,146153,146268,145868
Toad Harbor,167618,166970,170961,167127,167031,166115
Twisted Mansion,158192,156731,157517,155803,157753,156441
Shy Guy Falls,164912,163327,162706,165990,162966,161641
Sunshine Airport,161372,163323,164189,159577,160977,159188
Dolphin Shoals,162519,158054,158913,157379,159631,156555
Electrodrome,163026,161866,159887,160378,161957,160053
Mount Wario,149275,150231,149299,146838,146814,144570
Cloudtop Cruise,166043,160329,162060,167021,163910,161416
Bone-Dry Dunes,159124,158518,155617,157666,157398,155541
Bowser's Castle,167638,171639,164866,165132,164968,165037
Rainbow Road,164266,166824,167829,170134,163289,161143
(Wii) Moo Moo Meadows,122428,124172,122428,122441,122026,122618
(GBA) Mario Circuit,125830,125354,126199,126759,125334,123865
(DS) Cheep Cheep Beach,150348,148227,148398,148203,146797,146310
(N64) Toad's Turnpike,147730,147067,146511,145897,148312,147242
(GCN) Dry Dry Desert,175277,173946,178377,172425,168038,166726
(SNES) Donut Plains 3,119164,120551,118217,115397,119832,117003
(N64) Royal Raceway,160004,160202,159113,158506,160510,158726
(3DS) DK Jungle,164344,162884,163440,162759,162772,162889
(DS) Wario Stadium,156491,156922,154868,154808,156188,153367
(GCN) Sherbet Land,154951,153832,152786,152975,153398,152509
(3DS) Music Park,164544,160024,162805,162113,162660,160855
(N64) Yoshi Valley,164439,159941,159387,158676,159515,158459
(DS) Tick-Tock Clock,149037,150634,148822,149994,150650,148547
(3DS) Piranha Plant Slide,168743,168230,166681,165757,166839,164841
(Wii) Grumble Volcano,165591,157443,160441,157698,161531,157125
(N64) Rainbow Road,115223,114479,115400,114422,115848,114525
(GCN) Yoshi Circuit,153590,155689,152302,152283,157017,149893
Excitebike Arena,144011,146904,142500,144696,147077,142221
Dragon Driftway,150729,150115,149192,147463,147772,148308
Mute City,154681,156073,153924,153185,153958,152317
(Wii) Wario's Gold Mine,165784,161421,162460,162674,166170,162037
(SNES) Rainbow Road,132169,130298,131944,131924,130215,126730
Ice Ice Outpost,155047,150956,153114,149548,149946,159413
Hyrule Circuit,159013,154894,158179,152740,155910,153786
(GCN) Baby Park,100398,100541,100143,99873,101615,100190
(GBA) Cheese Land,153680,155590,156551,151331,159751,152295
Wild Woods,149589,147211,147348,147263,150314,145860
Animal Crossing,141587,140698,140426,149969,151124,149179
(3DS) Neo Bowser City,155195,157254,151322,160123,154923,152390
(GBA) Ribbon Road,152211,159657,154454,153347,151513,157805
Super Bell Subway,150948,153222,150494,151435,151525,149490
Big Blue,123584,123354,124102,121776,123023,121612
